datetime,country,shape,duration_seconds
2013-10-10 02:32:00,us,chevron,5.0
2013-10-10 05:00:00,,triangle,600.0
2013-10-10 17:00:00,us,light,10800.0
2013-10-10 17:10:00,ca,light,10.0
2013-10-10 19:00:00,us,light,60.0
2013-10-10 19:15:00,ca,light,120.0
2013-10-10 19:20:00,us,light,120.0
2013-10-10 19:20:00,us,circle,600.0
2013-10-10 20:00:00,us,circle,300.0
2013-10-10 20:00:00,us,light,5.0
2013-10-10 20:30:00,us,light,1200.0
2013-10-10 20:30:00,us,circle,60.0
2013-10-10 20:32:00,us,sphere,45.0
2013-10-10 20:35:00,us,triangle,180.0
2013-10-10 21:17:00,us,triangle,45.0
2013-10-10 21:30:00,us,light,1.0
1973-10-11 16:45:00,us,egg,14400.0
1978-10-11 23:00:00,us,circle,300.0
1986-10-11 20:30:00,au,,20.0
1987-10-11 21:30:00,us,light,30.0
1987-10-11 23:59:00,us,fireball,60.0
1989-10-11 21:00:00,us,sphere,180.0
1989-10-11 21:00:00,us,sphere,300.0
1992-10-11 10:00:00,us,sphere,900.0
1994-10-11 02:00:00,us,triangle,300.0
1994-10-11 04:00:00,us,chevron,4.0
1995-10-11 18:30:00,us,,720.0
1995-10-11 20:00:00,us,,120.0
1996-10-11 22:00:00,us,light,60.0
1997-10-11 22:00:00,,sphere,300.0
1998-10-11 02:15:00,us,other,3600.0
1998-10-11 14:05:00,us,cigar,120.0
1998-10-11 14:30:00,us,light,10.0
1998-10-11 20:30:00,us,sphere,14400.0
1998-10-11 22:40:00,us,sphere,30.0
1998-10-11 22:45:00,us,fireball,4.0
1999-10-11 00:15:00,us,light,180.0
1999-10-11 04:30:00,us,light,300.0
1999-10-11 06:10:00,,unknown,120.0
1999-10-11 07:40:00,us,oval,600.0
1999-10-11 09:10:00,us,light,10.0
1999-10-11 18:00:00,ca,disk,6.0
1999-10-11 20:15:00,us,oval,30.0
1999-10-11 20:15:00,us,oval,30.0
1999-10-11 20:15:00,us,oval,60.0
1999-10-11 20:15:00,us,oval,60.0
1999-10-11 20:35:00,us,other,5400.0
1999-10-11 21:00:00,us,cigar,2.0
1999-10-11 21:10:00,us,triangle,45.0
1999-10-11 21:30:00,us,light,600.0
1999-10-11 21:30:00,us,light,3600.0
1999-10-11 21:45:00,us,light,900.0
1999-10-11 22:15:00,,disk,900.0
1999-10-11 22:30:00,us,disk,600.0
2000-10-11 19:30:00,gb,diamond,3.0
2000-10-11 20:00:00,us,light,30.0
2000-10-11 22:00:00,us,light,30.0
2000-10-11 22:09:00,gb,changing,240.0
2000-10-11 23:30:00,us,light,1500.0
2001-10-11 01:00:00,us,light,10800.0
2001-10-11 02:15:00,us,other,1800.0
2001-10-11 05:15:00,us,light,900.0
2001-10-11 08:15:00,us,teardrop,300.0
2001-10-11 20:35:00,us,triangle,60.0
2001-10-11 23:49:00,us,teardrop,300.0
2002-10-11 06:17:00,us,fireball,6.0
2002-10-11 13:25:00,us,sphere,600.0
2002-10-11 16:15:00,us,cylinder,300.0
2002-10-11 20:36:00,us,fireball,3.0
2003-10-11 00:00:00,us,,172800.0
2003-10-11 00:20:00,us,circle,5.0
2003-10-11 01:29:00,us,egg,120.0
2003-10-11 03:00:00,us,sphere,3.0
2003-10-11 07:00:00,,fireball,3.0
2003-10-11 11:32:00,us,circle,40.0
2003-10-11 13:00:00,,cigar,2.0
2003-10-11 19:05:00,us,light,600.0
2003-10-11 20:00:00,us,unknown,10.0
2003-10-11 20:30:00,us,disk,180.0
2003-10-11 22:40:00,us,chevron,600.0
2004-10-11 01:00:00,us,triangle,3.0
2004-10-11 02:37:00,us,rectangle,20.0
2004-10-11 03:40:00,us,light,20.0
2004-10-11 04:15:00,us,other,7200.0
2004-10-11 05:00:00,us,light,15.0
2004-10-11 10:00:00,,light,1200.0
2004-10-11 11:00:00,us,formation,2700.0
2004-10-11 14:00:00,us,circle,60.0
2004-10-11 18:00:00,us,rectangle,120.0
2004-10-11 19:00:00,,light,5.0
2004-10-11 22:29:00,us,fireball,1351.0
2004-10-11 23:00:00,us,formation,7200.0
2004-10-11 23:15:00,us,light,540.0
2005-10-11 00:00:00,gb,formation,180.0
2005-10-11 00:00:00,us,light,180.0
2005-10-11 03:00:00,us,circle,7200.0
2005-10-11 03:20:00,,circle,180.0
2005-10-11 16:00:00,,formation,600.0
2005-10-11 16:36:00,us,light,720.0
2005-10-11 18:33:00,,light,2.0
2005-10-11 18:45:00,us,light,5400.0
2005-10-11 19:00:00,us,formation,1800.0
2005-10-11 19:00:00,us,light,1800.0
2005-10-11 19:30:00,us,triangle,3.0
2005-10-11 19:45:00,us,light,1800.0
2005-10-11 21:00:00,us,oval,300.0
2005-10-11 21:00:00,us,light,10.0
2005-10-11 21:50:00,gb,oval,3600.0
2006-10-11 01:25:00,us,disk,13.0
2006-10-11 02:00:00,,circle,420.0
2006-10-11 05:40:00,,disk,30.0
2006-10-11 09:00:00,,oval,600.0
2006-10-11 11:29:00,us,unknown,120.0
2006-10-11 19:00:00,us,fireball,120.0
2006-10-11 19:30:00,us,light,600.0
2006-10-11 20:45:00,us,diamond,3600.0
2006-10-11 21:00:00,us,light,900.0
2006-10-11 21:20:00,gb,formation,5.0
2006-10-11 21:32:00,us,circle,3.0
2006-10-11 22:00:00,us,light,60.0
2006-10-11 23:00:00,us,triangle,60.0
2006-10-11 00:00:00,us,oval,120.0
2007-10-11 04:40:00,us,oval,360.0
2007-10-11 10:10:00,us,cylinder,900.0
2007-10-11 16:00:00,us,circle,900.0
2007-10-11 19:28:00,,unknown,3600.0
2007-10-11 19:50:00,us,triangle,10.0
2007-10-11 20:15:00,us,light,1800.0
2007-10-11 20:30:00,us,disk,1800.0
2007-10-11 23:00:00,gb,unknown,300.0
2008-10-11 00:00:00,,chevron,60.0
2008-10-11 04:30:00,us,disk,3.0
2008-10-11 06:00:00,us,light,180.0
2008-10-11 13:00:00,us,sphere,20.0
2008-10-11 17:30:00,,cylinder,240.0
2008-10-11 19:00:00,us,circle,7200.0
2008-10-11 19:00:00,us,sphere,7200.0
2008-10-11 19:00:00,us,light,60.0
2008-10-11 19:30:00,us,triangle,30.0
2008-10-11 20:30:00,us,light,900.0
2008-10-11 20:30:00,,changing,300.0
2008-10-11 22:20:00,us,fireball,120.0
2008-10-11 22:30:00,us,triangle,30.0
2009-10-11 00:00:00,,unknown,10.0
2009-10-11 02:45:00,us,other,10800.0
2009-10-11 04:00:00,us,light,600.0
2009-10-11 04:45:00,ca,flash,5.0
2009-10-11 09:45:00,us,triangle,20.0
2009-10-11 12:30:00,us,egg,1200.0
2009-10-11 18:00:00,us,disk,120.0
2009-10-11 18:05:00,us,oval,3.0
2009-10-11 19:00:00,us,circle,15.0
2009-10-11 19:50:00,us,flash,540.0
2009-10-11 21:55:00,us,light,180.0
2010-10-11 00:30:00,us,other,1200.0
2010-10-11 04:00:00,,rectangle,1.0
2010-10-11 04:50:00,us,oval,120.0
2010-10-11 06:20:00,us,sphere,2400.0
2010-10-11 12:30:00,us,changing,2700.0
2010-10-11 19:40:00,us,light,240.0
2010-10-11 20:50:00,us,circle,60.0
2010-10-11 20:53:00,us,triangle,5.0
2010-10-11 21:35:00,us,other,15.0
2010-10-11 23:20:00,,fireball,15.0
2011-10-11 03:15:00,us,chevron,120.0
2011-10-11 08:40:00,us,other,180.0
2011-10-11 15:00:00,us,light,8.0
2011-10-11 19:40:00,us,light,90.0
